โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
1.6.19.1.10.2.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No3.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.2.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No3.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.2.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No3.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.3,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No6,,<rd:No6>,ข้อ 6 ค่าเช่า,Object,,[0…1],,,,,,
1.6.19.1.10.3.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No6.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.3.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No6.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.3.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No6.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.4,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No12,,<rd:No12>,ข้อ 12 ต้นทุนทางการเงิน,Object,,[0…1],,,,,,
1.6.19.1.10.4.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No12.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.4.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No12.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.4.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No12.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.5,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No21,,<rd:No21>,ข้อ 21 ค่าสึกหรอและค่าเสื่อมราคาของ ทรัพย์สิน,Object,,[0…1],,,,,,
1.6.19.1.10.5.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No21.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.5.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No21.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.5.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No21.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.6,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No22,,<rd:No22>,ข้อ 22 อื่น ๆ,Object,,[0…1],,,,,,
1.6.19.1.10.6.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No22.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.6.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No22.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.6.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.No22.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],e,,,,,
1.6.19.1.10.7,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.TotalAmount,,<rd:TotalAmount>,ข้อ 24 รายจ่ายในการขายและบริหาร,Object,,[0…1],,,,,,
1.6.19.1.10.7.1,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.TotalAmount.Exemption,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.7.2,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.TotalAmount.Exemption50Percent,<rd:Exemption50Percent>,กิจการที่ได้รับการลดหย่อน อัตราภาษีเงินได้ไม่เกินร้อยละห้าสิบของอัตราปกติ,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.19.1.10.7.3,,,,,,,,TaxFormDetail.BoiAttachment.Detail.SellingAndAdminsitrativeExpenses.TotalAmount.Liable,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.20,,,,TaxFormDetail.NetLossAttachment,,,,,<rd:NetLossAttachment>,ขาดทุนสุทธิที่มีสิทธินำมาหักตามกฎหมาย,Object,,[0…1],C,C,,,,
1.6.20.1,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax,,,,<rd:ExemptionForIncomeTax>,ข้อมูลผลการขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,Object,,[0…1],C,C,,,,
1.6.20.1.1,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail,,,<rd:ExemptionDetail>,ผลการขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,Object,,[0…8],C,C,,,,
1.6.20.1.1.1,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.periodFrom,,<rd:PeriodFrom>,รอบระยะเวลาบัญชีเริ่มต้น,Date,,[0…1],C,C,,,,
1.6.20.1.1.2,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.periodTo,,<rd:PeriodTo>,รอบระยะเวลาบัญชีสิ้นสุด,Date,,[0…1],C,C,,,,
1.6.20.1.1.3,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.exemptionProfitAmount,,<rd:ExemptionProfitAmount>,จำนวนกำไรสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.1.1.4,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.exemptionLossAmount,,<rd:ExemptionLossAmount>,จำนวนขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.1.1.5,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.liableProfitAmount,,<rd:LiableProfitAmount>,จำนวนกำไรสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.1.1.6,,,,,,,TaxFormDetail.NetLossAttachment.ExemptionForIncomeTax.ExemptionDetail.liableLossAmount,,<rd:LiableLossAmount>,จำนวนขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.2,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax,,,,<rd:LiableForIncomeTax>,ข้อมูลผลการขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,Object,,[0…1],C,C,,,,
1.6.20.2.1,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax.LiableDetail,,,,<rd:LiableDetail>,ผลการขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,Object,,[0…5],C,C,,,,
1.6.20.2.1.1,,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax.LiableDetail.periodFrom,,,<rd:PeriodFrom>,รอบระยะเวลาบัญชีเริ่มต้น,Date,,[0…1],C,C,,,,
1.6.20.2.1.2,,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax.LiableDetail.periodTo,,,<rd:PeriodTo>,รอบระยะเวลาบัญชีสิ้นสุด,Date,,[0…1],C,C,,,,
1.6.20.2.1.3,,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax.LiableDetail.liableProfitAmount,,,<rd:LiableProfitAmount>,จำนวนกำไรสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.2.1.4,,,,,,TaxFormDetail.NetLossAttachment.LiableForIncomeTax.LiableDetail.liableLossAmount,,,<rd:LiableLossAmount>,จำนวนขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.3,,,,,TaxFormDetail.NetLossAttachment.TotalExemption,,,,<rd:TotalExemption>,รวมผลขาดทุนสุทธิของกิจการที่ได้รับยกเว้น/สิทธิประโยชน์,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.20.4,,,,,TaxFormDetail.NetLossAttachment.TotalLiable,,,,<rd:TotalLiable>,รวมผลขาดทุนสุทธิของกิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21,,,,TaxFormDetail.RevOrExpDeductAttachment,,,,,<rd:RevOrExpDeductAttachment>,ใบแนบรายได้ที่ได้รับการยกเว้นภาษีเงินได้หรือรายจ่ายที่มีสิทธิหักได้เพิ่มขึ้น,Object,,[0…1],,,,,,
1.6.21.1,,,,,TaxFormDetail.revOrExpDeductAttachment.TaxExemptionRevenue,,,,<rd:TaxExemptionRevenue>,รายได้ส่วนที่ได้รับการยกเว้นภาษีฯ,Object,,[0…1],,,,,,
1.6.21.1.1,,,,,,TaxFormDetail.revOrExpDeductAttachment.TaxExemptionRevenue.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.1.2,,,,,,TaxFormDetail.revOrExpDeductAttachment.TaxExemptionRevenue.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.1.3,,,,,,TaxFormDetail.revOrExpDeductAttachment.TaxExemptionRevenue.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount,,,,<rd:ExpDeductAtGreaterAmount>,รายจ่ายที่มีสิทธิหักได้เพิ่มขึ้นจากรายจ่ายที่จ่ายจริง,Object,,[0…1],,,,,,
1.6.21.2.1,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no1,,,<rd:No1>,รายจ่ายเพื่อทำการวิจัยและพัฒนาเทคโนโลยีและนวัตกรรม,Object,,[0…1],,,,,,
1.6.21.2.1.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no1.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.1.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no1.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.1.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no1.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.2,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no2,,,<rd:No2>,รายจ่ายค่าซื้อหรือจ้างทำ ค่าใช้บริการโปรแกรมคอมพิวเตอร์,Object,,[0…1],,,,,,
1.6.21.2.2.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no2.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.2.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no2.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.2.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no2.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.3,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no3,,,<rd:No3>,รายจ่ายในการส่งลูกจ้างเข้ารับการศึกษาและฝึกอบรม,Object,,[0…1],,,,,,
1.6.21.2.3.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no3.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.3.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no3.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.3.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no3.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.4,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no4,,,<rd:No4>,รายจ่ายที่ได้รับสิทธิจากการส่งเสริมการลงทุน,Object,,[0…1],,,,,,
1.6.21.2.4.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no4.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.4.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no4.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.4.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no4.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.5,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no5,,,<rd:No5>,รายจ่ายในการจ้างคนพิการ,Object,,[0…1],,,,,,
1.6.21.2.5.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no5.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.5.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no5.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.5.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no5.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.6,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no6,,,<rd:No6>,รายจ่ายในการจ้างคนพิการเกินกว่าร้อยละ 60 ของลูกจ้าง,Object,,[0…1],,,,,,
1.6.21.2.6.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no6.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.6.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no6.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.6.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no6.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.7,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no7,,,<rd:No7>,รายจ่ายค่าจัดให้มีอุปกรณ์ให้แก่คนพิการ,Object,,[0…1],,,,,,
1.6.21.2.7.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no7.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.7.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no7.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.7.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no7.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.8,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no8,,,<rd:No8>,รายจ่ายในการจัดหาหนังสือหรือสื่ออิเล็กทรอนิกส์ของกิจการ,Object,,[0…1],,,,,,
1.6.21.2.8.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no8.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.8.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no8.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.8.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no8.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.9,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no9,,,<rd:No9>,รายจ่ายเพื่อส่งเสริมและสนับสนุนระบบภาษีอิเล็กทรอนิกส์,Object,,[0…1],,,,,,
1.6.21.2.9.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no9.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.9.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no9.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.9.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no9.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.10,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no10,,,<rd:No10>,รายจ่ายเงินลงทุนในหุ้นสามัญของวิสาหกิจเพื่อสังคม,Object,,[0…1],,,,,,
1.6.21.2.10.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no10.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.10.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no10.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.10.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no10.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.11,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no11,,,<rd:No11>,รายจ่ายค่าซื้อและค่าติดตั้งระบบกล้องโทรทัศน์วงจรปิด,Object,,[0…1],,,,,,
1.6.21.2.11.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no11.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.11.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no11.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.11.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no11.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.12,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no12,,,<rd:No12>,รายจ่ายเพื่อการลงทุนในทรัพย์สินในเขตพัฒนาพิเศษเฉพาะกิจ,Object,,[0…1],,,,,,
1.6.21.2.12.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no12.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.12.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no12.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.12.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no12.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.13,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no13,,,<rd:No13>,รายจ่ายจดทะเบียนจัดตั้งบริษัทฯ ค่าทำบัญชี และค่าสอบบัญชี,Object,,[0…1],,,,,,
1.6.21.2.13.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no13.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.13.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no13.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.13.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no13.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.14,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no14,,,<rd:No14>,รายจ่ายในการจ้างงานผู้สูงอายุ,Object,,[0…1],,,,,,
1.6.21.2.14.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no14.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.14.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no14.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.14.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no14.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.15,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no15,,,<rd:No15>,รายจ่ายจัดตั้งสถานรับเลี้ยงเด็กในสถานประกอบการ,Object,,[0…1],,,,,,
1.6.21.2.15.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no15.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.15.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no15.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.15.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no15.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.16,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no16,,,<rd:No16>,รายจ่ายค่าจ้างผู้มีบัตรสวัสดิการแห่งรัฐ,Object,,[0…1],,,,,,
1.6.21.2.16.1,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no16.exemption,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.16.2,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no16.liable,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.16.3,,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no16.total,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.21.2.17,,,,,,TaxFormDetail.revOrExpDeductAttachment.ExpDeductAtGreaterAmount.no17,,,<rd:No17>,รายจ่ายจากการควบรวมกิจการธนาคาร,Object,,[0…1],,,,,,
